|res|cou|char |lineCou|
| 1 | 0 |   0 |     0 |
| 1 | 0 |   0 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  97 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  32 |     0 |
| 0 | 1 |  10 |     0 |
| 0 | 1 |  10 |     1 |
| 0 | 1 |  10 |     1 |
| 0 | 1 |  10 |     2 |
| 0 | 0 |  10 |     2 |
| 0 | 0 |  10 |     2 |
