|res|cou|char |wordCou|
| 1 | 0 |   0 |     0 |
| 1 | 0 |   0 |     0 |
| 0 | 1 |  72 |     0 |
| 0 | 1 |  72 |     1 |
| 0 | 1 | 101 |     1 |
| 0 | 1 | 101 |     1 |
| 0 | 1 | 108 |     1 |
| 0 | 1 | 108 |     1 |
| 0 | 1 | 108 |     1 |
| 0 | 1 | 108 |     1 |
| 0 | 1 | 111 |     1 |
| 0 | 1 | 111 |     1 |
| 0 | 1 |  32 |     1 |
| 0 | 1 |  32 |     1 |
| 0 | 1 |  87 |     1 |
| 0 | 1 |  87 |     2 |
| 0 | 1 | 111 |     2 |
| 0 | 1 | 111 |     2 |
| 0 | 1 | 114 |     2 |
| 0 | 1 | 114 |     2 |
| 0 | 1 | 108 |     2 |
| 0 | 1 | 108 |     2 |
| 0 | 1 | 100 |     2 |
| 0 | 1 | 100 |     2 |
| 0 | 1 |  10 |     2 |
| 0 | 1 |  10 |     2 |
| 0 | 1 |  71 |     2 |
| 0 | 1 |  71 |     3 |
| 0 | 1 | 111 |     3 |
| 0 | 1 | 111 |     3 |
| 0 | 1 | 111 |     3 |
| 0 | 1 | 111 |     3 |
| 0 | 1 | 100 |     3 |
| 0 | 1 | 100 |     3 |
| 0 | 1 |  98 |     3 |
| 0 | 1 |  98 |     3 |
| 0 | 1 | 121 |     3 |
| 0 | 1 | 121 |     3 |
| 0 | 1 | 101 |     3 |
| 0 | 1 | 101 |     3 |
| 0 | 1 |  32 |     3 |
| 0 | 1 |  32 |     3 |
| 0 | 1 |  85 |     3 |
| 0 | 1 |  85 |     4 |
| 0 | 1 | 110 |     4 |
| 0 | 1 | 110 |     4 |
| 0 | 1 | 105 |     4 |
| 0 | 1 | 105 |     4 |
| 0 | 1 | 118 |     4 |
| 0 | 1 | 118 |     4 |
| 0 | 1 | 101 |     4 |
| 0 | 1 | 101 |     4 |
| 0 | 1 | 114 |     4 |
| 0 | 1 | 114 |     4 |
| 0 | 1 | 115 |     4 |
| 0 | 1 | 115 |     4 |
| 0 | 1 | 101 |     4 |
| 0 | 1 | 101 |     4 |
| 0 | 1 |  33 |     4 |
| 0 | 1 |  33 |     4 |
| 0 | 1 |  10 |     4 |
| 0 | 1 |  10 |     4 |
| 0 | 1 |  10 |     4 |
| 0 | 1 |  10 |     4 |
| 0 | 0 |  10 |     4 |
| 0 | 0 |  10 |     4 |
